datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"McIlroy, Rory",Rory McIlroy,150,32905101,12200,30.507,7:40 AM,1,67.9,8.5,0,76.4,1,100,21.50677437,
"Young, Cameron",Cameron Young,150,32905102,10700,29.522,7:51 AM,1,58.5,4.9,0,63.5,0.25,100,16.33482934,
"Fitzpatrick, Matthew",Matthew Fitzpatrick,150,32905103,10600,28.791,12:51 PM,0,56.1,4.4,0,60.5,0,100,8.108754686,
"Henley, Russell",Russell Henley,150,32905104,10200,28.719,12:29 PM,0,58.5,5.1,0,63.6,0.44,100,19.19046709,
"Kim, Tom",Tom Kim,150,32905105,10100,29.316,12:51 PM,0,57.4,4.7,0,62.1,0.33,100,12.55898818,
"Cole, Eric",Eric Cole,150,32905106,9900,28.249,12:29 PM,0,56.3,4.4,0,60.7,0.26,100,17.33944851,
"Poston, J.T.",J.T. Poston,150,32905107,9800,28.443,7:40 AM,1,57,4.6,0,61.6,0.39,100,14.58690293,
"Im, Sungjae",Sungjae Im,150,32905108,9700,28.568,12:40 PM,0,55.6,4.2,0,59.8,0.24,100,9.618742024,
"Lee, Min Woo",Min Woo Lee,150,32905109,9600,29.127,12:07 PM,0,55.1,4.1,0,59.2,0.22,100,8.269928871,
"An, Byeong Hun",Byeong Hun An,150,32905110,9500,29.355,6:45 AM,1,59.1,5.2,0,64.3,0.76,100,17.18504534,
"Kirk, Chris",Chris Kirk,150,32905111,9400,28.069,7:40 AM,1,52.7,3.6,0,56.3,0,100,13.2527116,
"Lowry, Shane",Shane Lowry,150,32905112,9300,27.529,7:29 AM,1,51.3,3.2,0,54.5,-0.06,100,15.86103394,
"Berger, Daniel",Daniel Berger,150,32905113,9200,27.013,12:29 PM,0,48.7,2.7,0,51.4,-0.18,100,14.67973987,
"Conners, Corey",Corey Conners,150,32905114,9100,28.525,7:18 AM,1,55.5,4.2,0,59.7,0.44,100,10.67534667,
"Mitchell, Keith",Keith Mitchell,150,32905115,9000,27.874,7:18 AM,1,53.4,3.7,0,57.1,0.22,100,10.27575582,
"McCarthy, Denny",Denny McCarthy,150,32905116,8900,27.995,12:07 PM,0,52.2,3.5,0,55.6,0.12,100,6.537198458,
"Jaeger, Stephan",Stephan Jaeger,150,32905117,8800,28.213,8:02 AM,1,54.3,4,0,58.2,0.41,100,11.783803,
"Pavon, Matthieu",Matthieu Pavon,150,32905118,8700,28.013,7:29 AM,1,51.1,3.1,0,54.2,0.05,100,10.36458331,
"Straka, Sepp",Sepp Straka,150,32905119,8600,28.41,12:40 PM,0,53.7,3.6,0,57.3,0.39,100,16.85436056,
"Hojgaard, Rasmus",Rasmus Hojgaard,150,32905120,8500,27.688,1:46 PM,0,50.9,3.1,0,54,0.1,100,5.766481938,
"Knapp, Jake",Jake Knapp,150,32905121,8400,27.471,7:40 AM,1,50.2,2.9,0,53.1,0.04,100,6.498168926,
"Hossler, Beau",Beau Hossler,150,32905122,8300,28.508,8:02 AM,1,54.8,4,0,58.8,0.64,100,8.036885378,
"Noren, Alex",Alex Noren,150,32905123,8200,27.339,1:02 PM,0,50.5,3.1,0,53.6,0.16,100,6.981703061,
"List, Luke",Luke List,150,32905124,8100,28.199,12:18 PM,0,53.3,3.7,0,57,0.53,100,8.40607852,
"Rose, Justin",Justin Rose,150,32905125,8000,27.089,12:51 PM,0,48.3,2.5,0,50.8,-0.02,100,6.339728894,
"Hoge, Tom",Tom Hoge,150,32905126,7900,28.085,12:18 PM,0,51.6,3.3,0,54.9,0.4,100,10.08290674,
"Pendrith, Taylor",Taylor Pendrith,150,32905127,7800,26.924,1:13 PM,0,48.2,2.5,0,50.7,0.02,100,2.666993332,
"Svensson, Adam",Adam Svensson,150,32905128,7700,27.964,12:29 PM,0,52.5,3.4,0,55.9,0.57,100,12.62252514,
"Olesen, Thorbjorn",Thorbjorn Olesen,150,32905129,7700,27.234,1:24 PM,0,50,2.8,0,52.8,0.26,100,5.398382726,
"Bezuidenhout, Christiaan",Christiaan Bezuidenhout,150,32905131,7600,27.398,11:45 AM,0,51.9,3.3,0,55.2,0.53,100,12.98843271,
"Todd, Brendon",Brendon Todd,150,32905130,7600,26.393,12:18 PM,0,48.3,2.5,0,50.8,0.1,100,5.623264545,
